COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
666,896111193,~OMEGA II LAUNDRY DE,25 LB,1,2825161
666,1111135091,ULTRA ALL,290 OZ,1,2825001
666,1111135101,$ULTRA ALL 85 USE,223 OZ,3,2859681
666,1111135104,ULTRA ALL 42 USE,110 OZ,4,2859661
666,1111135108,ULTRA ALL-30 USE,79 OZ,8,2859641
666,1111135110,~ULTRA ALL-18USE,48 OZ,10,2859621
666,1111135149,ULTRA ALL 150 LOAD B,150 EA,1,2869341
666,1111135218,ULTRA ALL FREE N CLR,48 OZ,10,2859701
666,1111135241,$ULTRA ALL FREE N CL,110 OZ,4,2859721
666,1111135265,CONC ALL $1.50 OFF,157 OZ,4,2859501
666,1111135340,CONCNTRTD ALL $2.50,20 LB,2,2859601
666,1111135403,NON PHOS CONC ALL,20 LB,2,2859601
666,1111135405,NON PHOS CONC ALL DE,157 OZ,4,2859501
666,1111135407,NON PHOS CONC ALL,84 OZ,6,2859451
665,1111135457,CONCENTRATED ALL .75,84 OZ,6,2859451
666,1111141003,~WISK STAIN FIGHTING,198 OZ,3,2867841
666,1111141004,STAIN FIGHTING WISK,98 OZ,4,2867801
666,1111141009,~STAIN FIGHTING WISK,70 OZ,8,2867821
666,1111141010,~STAIN FIGHTING WISK,42 OZ,10,2867761
666,1111141040,WISK POWDER W/BLEACH,125 OZ,4,2867861
666,1111141105,STAIN FIGHTING WISK,98 OZ,4,2867811
666,1111141131,WISK W/BLEACH POWDER,3.1 OZ,140,9868301
666,1111141151,"WISK POWDER ""BONUS P",119 OZ,4,2867801
666,1111141193,WISK W/BLEACH 67-USE,208 OZ,3,2867871
666,1111141203,WISK W/BLEACH 33 USE,103 OZ,4,2867861
666,1111141213,WISK W/BLEACH  14 US,44 OZ,10,2867851
666,1111141401,WISK POWER SCOOP 110,276 OZ,1,2867891
666,1111141403,~WISK POWER SCOOP 75,188 OZ,3,2867871
666,1111141404,~WISK POWER SCOOP 40,101 OZ,4,2867831
666,1111141408,~WISK PWR SCOOP 25 U,63 OZ,8,2867791
666,1111141412,~WISK POWER SCOOP 15,38 OZ,12,2867751
666,1111141415,~WISK UNSCNT PWR SCP,38 OZ,12,2867771
666,1111141425,WISK PWR SCOOP UNSC,63 OZ,8,2850040
666,1111141441,~UNSCENTED WISK POWE,101 OZ,4,2867781
666,1111142005,SURF POWDER,136 OZ,4,2873061
666,1111142009,SURF POWDER,72 OZ,8,2850020
666,1111142015,SURF POWDER,39 OZ,14,2873021
666,1111142086,SURF POWDER .75[ OFF,72 OZ,8,2873041
666,1111142118,~ULTRA SURF 18 USE,42 OZ,10,2867621
666,1111142127,SURF POWDER .40 OFF,39 OZ,14,2873021
666,1111142130,ULTRA SURF 30 USES,70 OZ,8,2867641
666,1111142140,SURF W/BLEACH POWDER,103 OZ,4,2867731
666,1111142142,ULTRA SURF 42 USES,98 OZ,4,2867661
666,1111142166,SURF W/BLEACH 67 USE,208 OZ,3,2867881
666,1111142185,ULTRA SURF 85 USE,194 OZ,3,2867681
666,1111142244,SURF POWDER $1.50 OF,136 OZ,4,2873061
666,1111142250,SURF POWDER 42 LD,98 OZ,4,2867661
666,1111142426,SURF WITH BLEACHING,75 OZ,8,2867721
666,1111142434,SURF W/BLEACH 33-USE,87 OZ,4,2867731
666,1111142460,~SURF/W BLEACHING AC,44 OZ,10,2867701
666,1111147379,SUNLIGHT AUTO PWDR P,85 OZ,8,2856941
665,1111148001,ULTRA SURF LIQUID,50 OZ,8,2869481
665,1111148003,SURF LIQUID,128 OZ,4,2869261
665,1111148004,SURF LIQUID,96 OZ,6,2869241
665,1111148005,ULTRA SURF LIQ REFIL,90 OZ,6,2869501
665,1111148006,~ULTRA SURF LIQ,100 OZ,4,2869491
665,1111148009,SURF LIQUID,64 OZ,9,2869221
665,1111148022,~DBL POWER SURF REFI,26 OZ,16,2869231
665,1111148026,SURF LIQ,128 OZ,4,2869261
665,1111148032,DOUBLE POWER SURF LI,32 OZ,12,2869251
665,1111148064,DOUBLE POWER SURF LI,64 OZ,6,2869271
665,1111148089,SURF LIQUID PP $8.49,128 OZ,4,2869261
665,1111148128,~DP SURF LIQUID DETE,128 OZ,4,2869241
665,1111148155,SURF $1.00 OFF,64 OZ,9,9928200
665,1111148167,SURF P.P $6.99,128 OZ,4,2869261
665,1111148263,SURF 1.5 OFF,96 OZ,6,9928060
665,1111148325,SURF LIQUID PP $6.49,96 OZ,6,2869241
665,1111148399,SURF LIQUID,64 OZ,9,2869221
665,1111148430,SURF LIQUID,96 OZ,6,2869241
665,1111148439,SURF LIQUID PP $4.39,64 OZ,9,2869221
665,1111148485,SURF $2 OFF,128 OZ,4,9928000
665,1111148502,SURF LIQUID,200 OZ,2,2867751
665,1111148526,SURF LIQ W/BLEACH AL,100 OZ,4,2869501
665,1111187001,~WISK PRETREATER,25 OZ,16,2869381
665,1111187005,ULTRA WISK LIQ REFIL,90 OZ,6,2869411
665,1111187022,~DOUBLE POWER WISK R,26 OZ,16,2868081
665,1111187023,ULTRA WISK LIQUID RE,200 OZ,2,2869431
665,1111187026,WISK $2.00 OFF LABEL,128 OZ,4,2868211
665,1111187028,DOUBLE POWER WISK,128 OZ,4,2868161
665,1111187032,DOUBLE POWER WISK,32 OZ,12,2868121
665,1111187041,ULTRA WISK FREE LIQU,50 OZ,8,2869441
665,1111187042,WISK PP $5.99,96 OZ,6,2868131
665,1111187049,ULTRA WISK LIQUID FR,100 OZ,4,2869451
665,1111187050,ULTRA WISK LIQUID,50 OZ,8,2869401
665,1111187053,ULTRA WISK W/BLEACH,100 OZ,4,2869471
665,1111187055,WISK LIQUID W/COLOR,200 OZ,2,2869511
665,1111187058,~ULTRA WISK W/BLCH L,50 OZ,8,2869461
665,1111187063,DOUBLE POWER WISK,64 OZ,6,2868171
665,1111187090,WISK UNSCENTED $2.00,128 OZ,4,286812
665,1111187095,~DOUBLE POWER WISK,96 OZ,4,2868111
665,1111187098,ULTRA WISK LIQUID RE,100 OZ,4,2869421
665,1111187126,~DBL POWER WISK FREE,26 OZ,16,2868091
665,1111187134,~DOUBLE POWER WISK F,32 OZ,12,2868151
665,1111187136,WISK UNSCENTED,96 OZ,6,2868111
665,1111187150,WISK UNSCENTED,96 OZ,6,2868111
665,1111187166,DOUBLE POWER WISK FR,64 OZ,6,2868191
665,1111187202,WISK POWER PLUS UNSC,128 OZ,4,2868311
665,1111187228,WISK W/STAIN FIGHTIN,128 OZ,4,2868061
665,1111187232,WISK W/STAIN FIGHTIN,32 OZ,12,2868041
665,1111187264,~WISK W/STAIN FIGHTI,64 OZ,6,2868051
665,1111187270,WISK UNSCN $1.00 OFF,64 OZ,9,2868141
665,1111187301,WISK POWER PLUS,160 OZ,4,2868221
665,1111187340,WISK LIQUID,96 OZ,6,2868131
665,1111187383,WISK $1.00 OFF LABEL,64 OZ,9,2868201
665,1111187404,NP WISK HD LIQ DET,128 OZ,4,2868211
665,1111187405,WISK LIQUID,96 OZ,6,2868131
665,1111187406,NP WISK HD LIQ DET,64 OZ,9,2868201
665,1111187407,WISK LIQUID UNSCENTE,96 OZ,6,2868111
665,1111187410,WISK UNSCENTED,64 OZ,9,2868141
665,1111187412,WISK LIQUID,32 OZ,16,2868101
665,1111189004,LIQUID ALL W/BLEACH,64 OZ,9,2869331
665,1111189014,~LIQ ALL W/BLCH,64 OZ,9,2869331
665,1111189026,~DBL POWER LIQ ALL R,26 OZ,16,2869121
665,1111189029,~DBL PWR LIQ ALL PP$,32 OZ,12,2869211
665,1111189031,~DBL PWR LIQUID ALL,32 OZ,12,2869211
665,1111189038,LIQUID ALL W/BLEACH,128 OZ,4,2869321
665,1111189039,~DBL PWR LIQ ALL PP$,32 OZ,12,2869211
665,1111189048,LIQ ALL W/BLCH PP $5,128 OZ,4,2869321
665,1111189049,~DBL PWR LIQ ALL PP$,64 OZ,6,2869001
665,1111189064,~DBL PWR LIQUID ALL,64 OZ,6,2869001
665,1111189075,~DBL PWR LIQ ALL PP$,64 OZ,6,2869001
665,1111189085,DBL PWR LIQ ALL PP$7,96 OZ,4,2869041
665,1111189086,~LIQ ALL PP2.99,64 OZ,9,2869181
665,1111189096,ÂDBL PWR LIQUID ALL,96 OZ,4,2869041
665,1111189115,DBL PWR LIQ ALL PP$7,96 OZ,4,2869041
665,1111189128,~DOUBLE POWER LIQUID,128 OZ,4,2869201
665,1111189129,LIQUID ALL FREE PP $,64 OZ,9,2869131
665,1111189170,LIQUID ALL,128 OZ,4,2869171
665,1111189175,LIQUID ALL PP $5.99,128 OZ,4,2869171
665,1111189182,~BLEACHING ACTION AL,128 OZ,4,2868291
665,1111189198,LIQ ALL STD DENSITY,200 OZ,2,2869201
665,1111189199,LQ.ALL FREE'N CLR$5.,128 OZ,4,2869141
665,1111189203,NP LIQUID ALL DETERG,96 OZ,6,2869151
665,1111189206,LIQUID ALL,64 OZ,9,2869111
665,1111189209,LIQUID ALL FREE N CL,64 OZ,9,2869131
665,1111189226,~DOUBLE POWER LQ ALL,26 OZ,16,2869161
665,1111189232,DBL PWR LIQ ALL FR/C,32 OZ,12,2869101
665,1111189240,DBL PWR LQD ALL PP$2,32 OZ,12,2869101
665,1111189264,~DBL PWR LIQ ALL FRE,64 OZ,6,2869021
665,1111189275,DBL POWER LQD ALL PP,64 OZ,6,2869021
665,1111189291,LIQUID ALL PP 5.49,128 OZ,4,2869191
665,1111189294,DBL PWR LQD ALL PP$2,32 OZ,12,2869101
665,1111189299,~LIQ ALL FREE'N CLR,64 OZ,9,2869311
665,1111189327,LIQUID ALL,96 OZ,6,2869151
665,1111189329,LIQUID ALL PP $3.29,64 OZ,9,2869111
665,1111189339,~BLEACHING ACTION AL,32 OZ,12,2868131
665,1111189379,LIQ ALL FREE PP $5.7,128 OZ,4,2869291
665,1111189400,LIQUID ALL,160 OZ,4,2869221
665,1111189403,LIQUID ALL,128 OZ,4,2869191
665,1111189415,LIQUID ALL REFILL,115 OZ,4,2869231
665,1111189428,LIQUID ALL FREE N CL,128 OZ,4,2869141
665,1111189453,LIQ ALL FREE PP $5.4,128 OZ,4,2869291
665,1111189469,LIQUID ALL PP $4.69,96 OZ,6,2869151
665,1111189479,LIQ ALL W/BLCH PP$5.,128 OZ,4,2869321
665,1111189490,~DB PWR BLCH ACTN AL,64 OZ,6,2868141
665,1111189529,LIQ ALL PP 5.79,128 OZ,4,2869191
665,1111189566,LIQ ALL W/BLCH PP 5.,128 OZ,4,2869321
665,1111189579,LIQ ALL PP $5.79,128 OZ,4,2869191
665,1111189597,LIQ ALL FREE PP 5.79,128 OZ,4,2869291
666,2240000440,STATIC GUARD SHIPPER,3 OZ,60,9800621
665,2400004870,LIQ PUREX W/BLEACH P,128 OZ,3,2873621
666,2420001504,PUREX DETG DENSE PK,147 OZ,4,2873651
666,2420001522,PUREX PWDR PP $5.29,147 OZ,4,2873651
666,2420001527,~PUREX HD DRY CLASSI,121 OZ,4,2873721
666,2420001573,~PUREX CLASSIC PP$5.,121 OZ,4,2873721
666,2420001575,ULTRA PUREX 18 LOADS,28 OZ,10,2873741
666,2420001576,ULTRA PUREX 30 LOADS,47 OZ,8,2873761
666,2420001583,ULTRA PUREX PP 2.89,28 OZ,10,2873741
666,2420001584,ULTRA PUREX PP 4.79,47 OZ,8,2873761
666,2420001607,TREND DETERGENT,32 OZ,12,2820020
666,2420001609,ULTRA PUREX PP$4.99,42 OZ,4,2873731
666,2420001809,~ULTRA PUREX W/BLCH5,73 OZ,4,2873711
666,2420001818,PUREX ULTRA 42 USE L,42USES,4,2873741
665,2420004823,PUREX LIQ DET PP $2.,64 OZ,6,2873671
665,2420004825,PUREX LIQ DET PP $5.,128 OZ,3,2873691
665,2420004850,ÂLIQ PUREX W/BLEWACH,64 OZ,6,2873601
665,2420004855,PUREX HDL W/BLCH,128 OZ,3,2873621
665,2420004865,~LIQ PUREX W/BLEACH,64 OZ,6,2873601
665,2420004870,LIQ PUREX W/BLEACH P,128 OZ,3,2873691
665,2420004874,PUREX LIQ DET PP 2.7,64 OZ,6,2873671
665,2420004875,PUREX LIQ DET,64 OZ,6,2873671
665,2420004894,PUREX HDL LQD,128 OZ,4,2873691
665,2420004895,PUREX HDL LQD,128 OZ,4,2873691
666,2420008942,DUTCH HD DETERGENT,36 OZ,12,2860501
666,2420008952,DUTCH HD DETERGENT,32 OZ,12,2860501
666,2420008955,DUTCH DRY PP $1.19,32 OZ,12,2860501
666,2420013900,DIAPER SWEET,19 OZ,12,2803000
666,2490001352,KLEEN POWDER LAUNDRY,171 OZ,4,280020
666,2490001355,KLEEN WHITE DETERGEN,112 OZ,4,2800210
666,2490085516,GENERIC ALLPP DET,32 OZ,12,2859421
666,3320006180,~A&H PWR FRSH FREE,4.8LB,10,2880331
666,3320006188,A&H PWR FRSH FREE,72 OZ,10,2880331
666,3320006200,A&H ULTRA FRESH PWD,72 OZ,10,2880321
666,3320006208,A & H POWDER PP3.29,72 OZ,10,2880321
666,3320006209,A & H POWDER PP3.29,72 OZ,8,2880321
666,3320006350,A&H PWR FRSH W/BLEAC,8.8 LB,4,2880371
666,3320006400,A&H ULTRA FRESH POWD,10 LB,4,2880341
666,3320006409,A&H ULTRA FRSH POWDE,10 LB,4,2880341
666,3320006410,A&H PWR FR FREE,10 LB,4,2880351
666,3320006419,A&H PWR FR FREE,160 OZ,4,2880351
666,3320006600,~A&H POWER FRESH POW,15 LB,3,2880361
666,3320006609,A&H ULTRA FRESH PDWR,15 LB,3,2880361
666,3320006750,A&H PWR FRSH W/BLCH,17.7 L,2,2880391
666,3320006850,A&H ULTRA FRESH POWD,21.25L,2,2880381
666,3320006859,A&H ULTRA FRESH PDWR,21.4 L,2,2880381
666,3320007220,A&H LAUNDRY DETG,14 LB,3,2880271
666,3320007221,A&H LAUNDRY DETG,14 LB,3,2880271
666,3320007222,A&HPOWDER PP $ 5.69,14 LB,3,9928140
666,3320007225,A&H POWDER PP$5.99,14 LB,3,2880271
666,3320007249,A&H POWDERED LAUNDRY,28 OZ,12,9801571
666,3320007270,A&H POWDER DETERGENT,25 LB,2,2880291
666,3320007273,A&H POWDER PP 9.99,25 LB,2,9928230
666,3320007274,A&H POWDER PP$10.49,25 LB,2,2880291
666,3320007291,A & H POWDERED DETER,7 LB,6,2880251
666,3320007293,A & H DETER. PP$3.29,7 LB,6,2880251
665,3320008050,A&H LQD DETGNT,64 OZ,6,2868181
665,3320008054,~A&H HEAVY DUTY LIQU,64 OZ,6,2868181
665,3320008057,A&H LIQUID DET,64 OZ,6,2868181
665,3320008064,ARM & HAMMER LIQ. $4,96 OZ,4,2868191
665,3320008067,A&H HVY DY LIQ PP$3.,96 OZ,4,2868191
665,3320008070,A&H HEAVY DUTY LIQ D,128 OZ,4,2868221
665,3320008074,A&H LIQ DET PP $5.69,128 OZ,4,2868221
665,3320008077,A&H LIQ PP $5.39,128 OZ,4,9968220
665,3320009030,~PWR FRESH LIQ DET,32 OZ,12,2868201
665,3320009031,PWR FRSH LIQ DET PP,32 OZ,12,2868201
665,3320009060,PWR FRSH LIQ DETERGE,64 OZ,6,2868211
665,3320009061,PWR FRSH LIQ DET PP,64 OZ,6,2868211
665,3320009130,~PWR FRSH LIQ DET FR,32 OZ,12,2868261
665,3320009131,~PWR FRSH LIQ DET FR,32 OZ,12,2868261
665,3320009260,A&H SUPER CONC LIQ W,64 OZ,4,2868181
665,3320009400,~A & H LIQ LAUNDRY D,50 OZ,8,2868041
665,3320009420,A&H LIQ LAUNDRY W/BL,50 OZ,8,2868061
